"E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr"
"704","1443","704","2961","674.4","4792","702.8","5875","702.75","7237","704","1404","704","2772","674.4","4551","702.8","5550","702.75","7006","704","1372","704","2852","674.4","4571","702.8","5668","702.75","7040","704","2523","704","5058","674.4","11719","702.8","10356","702.75","13021","704","1478","704","2993","674.4","4840","702.8","5833","702.75","7102"
"716.2","1295","716.1","2654","686.1","4598","714.8","5213","714.84","6398","716.2","1247","716.1","2446","686.1","4618","714.8","5019","714.84","6320","716.2","1204","716.1","2488","686.1","4442","714.8","5096","714.84","6207","716.2","2018","716.1","4145","686.1","9924","714.8","8266","714.84","10124","716.2","1211","716.1","2681","686.1","4751","714.8","5153","714.84","6467"
"728.3","1167","728.2","2376","697.7","4193","726.9","4502","726.92","5518","728.3","1107","728.2","2188","697.7","4307","726.9","4421","726.92","5372","728.3","1022","728.2","2100","697.7","4205","726.9","4387","726.92","5299","728.3","1770","728.2","3267","697.7","7909","726.9","6487","726.92","8092","728.3","1090","728.2","2191","697.7","4318","726.9","4429","726.92","5706"
"740.4","1021","740.3","1892","709.3","3883","739","3934","739.01","5109","740.4","979","740.3","1846","709.3","3900","739","3788","739.01","4779","740.4","978","740.3","1796","709.3","3893","739","3807","739.01","4666","740.4","1361","740.3","2734","709.3","6509","739","5556","739.01","6810","740.4","952","740.3","1941","709.3","4044","739","3843","739.01","5008"
"752.5","894","752.5","1579","720.9","3443","751.1","3309","751.1","4177","752.5","776","752.5","1523","720.9","3246","751.1","3164","751.1","3801","752.5","751","752.5","1571","720.9","3425","751.1","3123","751.1","3894","752.5","1147","752.5","2064","720.9","5201","751.1","4371","751.1","5459","752.5","809","752.5","1634","720.9","3475","751.1","3258","751.1","4072"
"764.6","698","764.6","1376","732.5","3105","763.2","2749","763.18","3478","764.6","639","764.6","1306","732.5","3008","763.2","2625","763.18","3315","764.6","641","764.6","1326","732.5","2977","763.2","2620","763.18","3209","764.6","844","764.6","1779","732.5","4433","763.2","3494","763.18","4305","764.6","659","764.6","1463","732.5","3071","763.2","2709","763.18","3403"
"776.7","579","776.7","1102","744.1","2768","775.3","2130","775.27","2654","776.7","448","776.7","945","744.1","2685","775.3","1976","775.27","2498","776.7","509","776.7","976","744.1","2554","775.3","1910","775.27","2474","776.7","708","776.7","1245","744.1","3592","775.3","2608","775.27","3140","776.7","560","776.7","1097","744.1","2730","775.3","2092","775.27","2786"
"788.8","424","788.8","769","755.7","2253","787.4","1535","787.35","1992","788.8","375","788.8","678","755.7","2171","787.4","1310","787.35","1772","788.8","336","788.8","723","755.7","2217","787.4","1376","787.35","1721","788.8","432","788.8","850","755.7","2915","787.4","1719","787.35","2205","788.8","363","788.8","727","755.7","2257","787.4","1471","787.35","1853"
"800.9","277","800.9","515","767.4","1858","799.5","1012","799.44","1329","800.9","227","800.9","400","767.4","1809","799.5","837","799.44","1075","800.9","190","800.9","383","767.4","1789","799.5","824","799.44","1058","800.9","264","800.9","547","767.4","2392","799.5","1120","799.44","1345","800.9","259","800.9","499","767.4","1863","799.5","973","799.44","1285"
"813","182","813","331","779","1472","811.6","711","811.53","854","813","100","813","231","779","1397","811.6","478","811.53","619","813","102","813","204","779","1306","811.6","388","811.53","614","813","148","813","299","779","1700","811.6","575","811.53","732","813","134","813","301","779","1344","811.6","555","811.53","751"
"825.1","116","825.1","200","790.6","1012","823.6","391","823.61","530","825.1","52","825.1","110","790.6","922","823.6","198","823.61","283","825.1","41","825.1","88","790.6","883","823.6","217","823.61","269","825.1","83","825.1","129","790.6","1166","823.6","275","823.61","349","825.1","86","825.1","181","790.6","935","823.6","348","823.61","412"
"837.3","97","837.2","169","802.2","689","835.7","340","835.7","393","837.3","31","837.2","56","802.2","541","835.7","109","835.7","157","837.3","20","837.2","53","802.2","482","835.7","100","835.7","122","837.3","38","837.2","59","802.2","726","835.7","145","835.7","184","837.3","68","837.2","108","802.2","633","835.7","221","835.7","306"
"849.4","66","849.3","124","813.8","445","847.8","273","847.78","368","849.4","21","849.3","28","813.8","310","847.8","55","847.78","51","849.4","8","849.3","22","813.8","285","847.8","43","847.78","58","849.4","20","849.3","32","813.8","352","847.8","68","847.78","94","849.4","42","849.3","94","813.8","395","847.8","167","847.78","233"
"861.5","67","861.4","127","825.4","284","859.9","242","859.87","360","861.5","17","861.4","20","825.4","125","859.9","45","859.87","50","861.5","4","861.4","13","825.4","130","859.9","30","859.87","34","861.5","12","861.4","20","825.4","198","859.9","45","859.87","49","861.5","43","861.4","80","825.4","244","859.9","158","859.87","200"
